,City,Lat,Long,Temp,Humidity,Cloudiness,Wind
0,Albany,42.6001,-73.9662,23.38,47,99,4.16
1,Mataura,-46.1927,168.8643,50.88,84,100,13.42
2,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
3,Oksovskiy,62.6062,39.8984,-11.13,88,0,3.78
4,Nikolskoye,59.7035,30.7861,3.24,85,0,4.12
5,São Filipe,14.8961,-24.4956,72.01,76,50,11.14
6,Bethel,41.3712,-73.414,27.73,46,1,3.44
7,Port-Gentil,-0.7193,8.7815,82.4,89,40,4.61
8,Quelimane,-17.8786,36.8883,77.0,78,40,2.3
9,Jangaon,17.7167,79.1833,59.88,76,51,3.74
10,Moose Factory,51.2585,-80.6094,-3.12,71,90,13.8
11,Cockburn Town,21.4612,-71.1419,77.29,78,0,15.61
12,Barrow,71.2906,-156.7887,-29.2,68,20,9.22
13,Hilo,19.7297,-155.09,73.22,53,75,4.61
14,Bengkulu,-3.8004,102.2655,73.71,88,69,4.88
15,Portland,45.5234,-122.6762,44.83,46,75,5.75
16,Maragogi,-9.0122,-35.2225,79.52,82,42,11.81
17,Saskylakh,71.9167,114.0833,-22.7,83,0,8.32
18,Cape Town,-33.9258,18.4232,68.56,83,0,16.11
19,Balaipungut,1.05,101.2833,77.0,94,40,1.41
20,Airai,-8.9266,125.4092,65.66,95,85,1.12
21,Tymovskoye,50.8456,142.655,14.14,95,100,5.5
22,Puerto Ayora,-0.7393,-90.3518,78.3,83,75,5.75
23,Mayo,38.8876,-76.5119,35.19,65,90,5.75
24,Gainesville,29.6516,-82.3248,78.26,50,40,6.91
25,Longyearbyen,78.2186,15.6401,8.6,72,90,24.16
26,Broome,42.2506,-75.833,19.98,49,90,3.44
27,Brits,-25.6347,27.7802,68.45,88,55,2.3
28,Ushuaia,-54.8,-68.3,77.0,27,0,18.41
29,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
30,Punta Arenas,-53.15,-70.9167,62.29,63,0,11.5
31,Minna,9.6139,6.5569,81.28,16,0,8.14
32,Bredasdorp,-34.5322,20.0403,68.0,83,39,4.61
33,Bethel,41.3712,-73.414,27.73,46,1,3.44
34,Atuona,-9.8,-139.0333,79.12,78,1,17.13
35,Barrow,71.2906,-156.7887,-29.2,68,20,9.22
